id,currencyId,customerId,dateCompleted,dateCreated,locationGroupId,qbClassId,statusId,sales_channel
15125,1.0,1,2021-03-30 00:00:00.000,2021-03-29 00:00:00.000,1,8,60,H
15126,1.0,1,2021-03-31 00:00:00.000,2021-03-29 00:00:00.000,1,8,60,H
15127,1.0,2476,2021-05-27 00:00:00.000,2021-03-29 00:00:00.000,1,9,60,O
15128,1.0,5988,2021-03-29 00:00:00.000,2021-03-29 00:00:00.000,1,9,60,O
15129,1.0,1,2021-03-31 00:00:00.000,2021-03-29 00:00:00.000,1,8,60,H
15130,1.0,734,2021-03-31 00:00:00.000,2021-03-29 00:00:00.000,1,19,60,K
15131,1.0,734,2021-03-31 00:00:00.000,2021-03-29 00:00:00.000,1,19,60,K
15132,1.0,1,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,8,60,H
15133,1.0,312,2021-03-30 00:00:00.000,2021-03-29 00:00:00.000,1,9,60,F
15134,1.0,312,2021-03-30 00:00:00.000,2021-03-27 00:00:00.000,1,9,60,F
15135,1.0,2746,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,12,60,P
15136,1.0,1,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,8,60,H
15137,1.0,312,2021-03-30 00:00:00.000,2021-03-29 00:00:00.000,1,9,60,F
15138,1.0,72,2021-04-02 00:00:00.000,2021-03-30 00:00:00.000,1,9,60,O
15139,1.0,5516,2021-06-04 15:17:53.854,2021-03-30 00:00:00.000,1,9,60,O
15140,1.0,1,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,8,60,H
15141,1.0,1,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,8,60,H
15142,1.0,1,2021-03-31 00:00:00.000,2021-03-30 00:00:00.000,1,8,60,H
15143,1.0,734,2021-04-01 00:00:00.000,2021-03-31 00:00:00.000,1,19,60,K
15144,1.0,1,2021-03-31 00:00:00.000,2021-03-31 00:00:00.000,1,8,60,H
15146,1.0,6132,2021-04-01 00:00:00.000,2021-03-31 00:00:00.000,1,9,60,O
15147,1.0,1,2021-04-01 00:00:00.000,2021-03-31 00:00:00.000,1,8,60,H
